Método,Quadro (imagem),min_val,max_val
TM_SQDIFF,im123,144319744.0,2574168320.0
TM_SQDIFF,im124,142916096.0,2574168320.0
TM_SQDIFF,im125,142638336.0,2574168064.0
TM_SQDIFF,im126,142703616.0,2574168320.0
TM_SQDIFF,im127,142603520.0,2574168064.0
TM_SQDIFF,im128,142098432.0,2574168320.0
TM_SQDIFF,im129,141444864.0,2574168320.0
TM_SQDIFF,im130,141313280.0,2574168320.0
TM_SQDIFF,im131,141117952.0,2574168320.0
TM_SQDIFF,im132,141263104.0,2574168320.0
TM_SQDIFF,im133,141294336.0,2574168064.0
TM_SQDIFF,im134,141585920.0,2574168576.0
TM_SQDIFF,im135,142029056.0,2574168320.0
TM_SQDIFF,im136,141989632.0,2574168832.0
TM_SQDIFF,im137,142211072.0,2574168576.0
TM_SQDIFF,im138,142488320.0,2574168064.0
TM_SQDIFF,im139,142471424.0,2574168320.0
TM_SQDIFF,im140,142567424.0,2574168320.0
TM_SQDIFF,im141,141679360.0,2574168576.0
TM_SQDIFF,im142,141253376.0,2574168064.0
TM_SQDIFF,im143,140685824.0,2574168320.0
TM_SQDIFF,im144,139037952.0,2574168320.0
TM_SQDIFF,im145,138836224.0,2574168832.0
TM_SQDIFF,im146,138770176.0,2574168320.0
TM_SQDIFF,im147,137360384.0,2574168832.0
TM_SQDIFF,im148,136245248.0,2574168320.0
TM_SQDIFF,im149,135908864.0,2574168320.0
TM_SQDIFF,im150,134333952.0,2574168064.0
TM_SQDIFF,im151,134569472.0,2574168320.0
TM_SQDIFF,im152,134684416.0,2574168576.0
TM_SQDIFF,im153,134286592.0,2574168832.0
TM_SQDIFF,im154,134054400.0,2574168320.0
TM_SQDIFF,im155,134254848.0,2574168320.0
TM_SQDIFF,im156,133248256.0,2574168320.0
TM_SQDIFF,im157,132948224.0,2574168064.0
TM_SQDIFF,im158,133102848.0,2574168320.0
TM_SQDIFF,im159,132976896.0,2574168064.0
TM_SQDIFF,im160,133068288.0,2574168064.0
TM_SQDIFF,im161,132999168.0,2574168832.0
TM_SQDIFF,im162,132886784.0,2574168320.0
TM_SQDIFF,im163,132871168.0,2574168320.0
TM_SQDIFF,im164,133070080.0,2574168320.0
TM_SQDIFF,im165,133168640.0,2574168832.0
TM_SQDIFF,im166,132012544.0,2574168320.0
TM_SQDIFF,im167,121714688.0,2574168320.0
TM_SQDIFF,im168,127932160.0,2574168576.0
TM_SQDIFF,im169,127418624.0,2574168576.0
TM_SQDIFF,im170,126179328.0,2574168576.0
TM_SQDIFF,im171,128328704.0,2574168320.0
TM_SQDIFF,im172,132714240.0,2574168576.0
TM_SQDIFF,im173,134137856.0,2574168320.0
TM_SQDIFF,im174,134197760.0,2574168832.0
TM_SQDIFF,im175,134312960.0,2574168576.0
TM_SQDIFF,im176,134445056.0,2574168064.0
TM_SQDIFF,im177,134658816.0,2574168320.0
TM_SQDIFF,im178,134050304.0,2574168320.0
TM_SQDIFF,im179,134114048.0,2574168064.0
TM_SQDIFF,im180,133521152.0,2574168320.0
TM_SQDIFF,im181,133265408.0,2574168576.0
TM_SQDIFF,im182,133398272.0,2574168576.0
TM_SQDIFF,im183,133303296.0,2574168320.0
TM_SQDIFF,im184,132826112.0,2574168576.0
TM_SQDIFF,im185,133174528.0,2574168320.0
TM_SQDIFF,im186,133071360.0,2574168320.0
TM_SQDIFF,im187,132996352.0,2574168064.0
TM_SQDIFF,im188,132694272.0,2574168320.0
TM_SQDIFF,im189,133161216.0,2574168576.0
TM_SQDIFF,im190,133136128.0,2574168832.0
TM_SQDIFF,im191,132458496.0,2574168320.0
TM_SQDIFF,im192,132561920.0,2574168320.0
TM_SQDIFF,im193,132803072.0,2574168064.0
TM_SQDIFF,im194,132833792.0,2574168064.0
TM_SQDIFF,im195,133321216.0,2574168320.0
TM_SQDIFF,im196,133851904.0,2574168576.0
TM_SQDIFF,im197,134782208.0,2574168320.0
TM_SQDIFF,im198,135565056.0,2574168320.0
TM_SQDIFF,im199,137237504.0,2574168320.0
TM_SQDIFF,im200,138847232.0,2574168320.0
TM_SQDIFF,im201,141919744.0,2574168320.0
TM_SQDIFF,im202,139820544.0,2574168064.0
TM_SQDIFF,im203,139780096.0,2574168576.0
TM_SQDIFF,im204,136662016.0,2574168320.0
TM_SQDIFF,im205,135700992.0,2574168320.0
TM_SQDIFF,im206,134108928.0,2574168320.0
TM_SQDIFF,im207,131090176.0,2574168832.0
TM_SQDIFF,im208,129367296.0,2574168832.0
TM_SQDIFF,im209,131898880.0,2574168576.0
TM_SQDIFF,im210,135780352.0,2574168064.0
TM_SQDIFF,im211,135354624.0,2574168320.0
TM_SQDIFF,im212,135362304.0,2574168576.0
TM_SQDIFF,im213,134337024.0,2574168576.0
TM_SQDIFF,im214,132938240.0,2574168576.0
TM_SQDIFF,im215,131257600.0,2574168576.0
TM_SQDIFF,im216,130496768.0,2574168576.0
TM_SQDIFF,im217,129937152.0,2574168320.0
TM_SQDIFF,im218,129193984.0,2574168320.0
TM_SQDIFF,im219,127174400.0,2574168832.0
TM_SQDIFF,im220,122694912.0,2574168320.0
TM_SQDIFF,im221,126381568.0,2574168576.0
TM_SQDIFF,im222,133554432.0,2574168832.0
TM_SQDIFF,im223,141448192.0,2574168320.0
TM_SQDIFF,im224,141285376.0,2574168576.0
TM_SQDIFF,im225,141374208.0,2574168576.0
TM_SQDIFF,im226,141157120.0,2574168320.0
TM_SQDIFF,im227,141107968.0,2574168320.0
TM_SQDIFF,im228,140548096.0,2574168576.0
TM_SQDIFF,im229,140484096.0,2574168064.0
TM_SQDIFF,im230,140315392.0,2574168576.0
TM_SQDIFF,im231,140507648.0,2574168320.0
TM_SQDIFF,im232,139911936.0,2574168832.0
TM_SQDIFF,im233,139684096.0,2574168576.0
TM_SQDIFF,im234,139467776.0,2574168320.0
TM_SQDIFF,im235,139536384.0,2574168320.0
TM_SQDIFF,im236,137936640.0,2574168832.0
TM_SQDIFF,im237,138308352.0,2574168320.0
TM_SQDIFF,im238,138246656.0,2574168064.0
TM_SQDIFF,im239,137718272.0,2574168320.0
TM_SQDIFF,im240,137671168.0,2574168576.0
TM_SQDIFF,im241,137534208.0,2574168576.0
TM_SQDIFF,im242,137666560.0,2574168576.0
TM_SQDIFF,im243,137594880.0,2574168320.0
TM_SQDIFF,im244,137261056.0,2574168576.0
TM_SQDIFF,im245,137043200.0,2574168576.0
TM_SQDIFF,im246,137197824.0,2574168576.0
TM_SQDIFF,im247,137365248.0,2574168832.0
TM_SQDIFF,im248,136356608.0,2574168064.0
TM_SQDIFF,im249,136757760.0,2574168064.0
TM_SQDIFF,im250,136971520.0,2574168320.0
TM_SQDIFF,im251,137128704.0,2574168320.0
TM_SQDIFF,im252,137187072.0,2574168576.0
TM_SQDIFF,im253,137090560.0,2574168576.0
TM_SQDIFF,im254,137141248.0,2574168576.0
TM_SQDIFF,im255,136286976.0,2574168832.0
TM_SQDIFF,im256,132857600.0,2574168320.0
TM_SQDIFF,im257,127107584.0,2574168320.0
TM_SQDIFF,im258,125021696.0,2574168320.0
TM_SQDIFF,im259,123350784.0,2574168576.0
TM_SQDIFF,im260,122723072.0,2574168576.0
TM_SQDIFF,im261,122634240.0,2574168320.0
TM_SQDIFF,im262,122205440.0,2574168832.0
TM_SQDIFF,im263,123025152.0,2574168576.0
TM_SQDIFF,im264,123057664.0,2574168576.0
TM_SQDIFF,im265,122390272.0,2574168576.0
TM_SQDIFF,im266,122927104.0,2574168320.0
TM_SQDIFF,im267,134420480.0,2574168320.0
TM_SQDIFF,im268,144402944.0,2574168576.0
TM_SQDIFF,im269,154468352.0,2574168576.0
TM_SQDIFF,im270,163438848.0,2574168064.0
TM_SQDIFF,im271,176297472.0,2574168576.0
TM_SQDIFF,im272,190833920.0,2574168576.0
TM_SQDIFF,im273,217380608.0,2574168832.0
TM_SQDIFF,im274,229585920.0,2574169344.0
TM_SQDIFF,im275,234532352.0,2574168576.0
TM_SQDIFF,im276,238712320.0,2574168576.0
TM_SQDIFF,im277,248386304.0,2574168832.0
TM_SQDIFF,im278,265393408.0,2574168576.0
TM_SQDIFF,im279,277738496.0,2574168576.0
