Método,Quadro (imagem),min_val,max_val
TM_CCORR,im145,-160.0,584103552.0
TM_CCORR,im146,-160.0,584087296.0
TM_CCORR,im147,-144.0,584153856.0
TM_CCORR,im148,-144.0,584085632.0
TM_CCORR,im149,-160.0,584084224.0
TM_CCORR,im150,-160.0,584106496.0
TM_CCORR,im151,-160.0,584189056.0
TM_CCORR,im152,-144.0,584197440.0
TM_CCORR,im153,-144.0,584227840.0
TM_CCORR,im154,-160.0,584266624.0
TM_CCORR,im155,-144.0,584274432.0
TM_CCORR,im156,-160.0,584398208.0
TM_CCORR,im157,-176.0,584499072.0
TM_CCORR,im158,-160.0,584491392.0
TM_CCORR,im159,-144.0,584518976.0
TM_CCORR,im160,-160.0,584587264.0
TM_CCORR,im161,-144.0,584672448.0
TM_CCORR,im162,-160.0,584744576.0
TM_CCORR,im163,-128.0,584771328.0
TM_CCORR,im164,-128.0,584778176.0
TM_CCORR,im165,-160.0,584856384.0
TM_CCORR,im166,-160.0,585022144.0
TM_CCORR,im167,-144.0,585141568.0
TM_CCORR,im168,-128.0,585428864.0
TM_CCORR,im169,-160.0,585546752.0
TM_CCORR,im170,-160.0,585589568.0
TM_CCORR,im171,-160.0,585853056.0
TM_CCORR,im172,-160.0,585980288.0
TM_CCORR,im173,-160.0,586019904.0
TM_CCORR,im174,-144.0,586044224.0
TM_CCORR,im175,-144.0,586054208.0
TM_CCORR,im176,-160.0,586098496.0
TM_CCORR,im177,-160.0,586595584.0
TM_CCORR,im178,-160.0,586520320.0
TM_CCORR,im179,-176.0,586530944.0
TM_CCORR,im180,-128.0,586535680.0
TM_CCORR,im181,-144.0,586489600.0
TM_CCORR,im182,-160.0,586501120.0
TM_CCORR,im183,-160.0,586487680.0
TM_CCORR,im184,-144.0,586476032.0
TM_CCORR,im185,-160.0,586342272.0
TM_CCORR,im186,-144.0,586306432.0
TM_CCORR,im187,-160.0,586197120.0
TM_CCORR,im188,-160.0,586165632.0
TM_CCORR,im189,-144.0,586170112.0
TM_CCORR,im190,-160.0,586162944.0
TM_CCORR,im191,-144.0,586163520.0
TM_CCORR,im192,-160.0,586137536.0
TM_CCORR,im193,-160.0,586121600.0
TM_CCORR,im194,-128.0,586158208.0
TM_CCORR,im195,-128.0,586128256.0
TM_CCORR,im196,-128.0,586124480.0
TM_CCORR,im197,-144.0,586125056.0
TM_CCORR,im198,-160.0,586184576.0
TM_CCORR,im199,-144.0,586174016.0
TM_CCORR,im200,-128.0,586151040.0
TM_CCORR,im201,-128.0,586182592.0
TM_CCORR,im202,-160.0,586236800.0
TM_CCORR,im203,-128.0,586268032.0
TM_CCORR,im204,-144.0,586301952.0
TM_CCORR,im205,-160.0,586293120.0
TM_CCORR,im206,-144.0,586379904.0
TM_CCORR,im207,-128.0,586155008.0
TM_CCORR,im208,-144.0,586194304.0
TM_CCORR,im209,-160.0,586209664.0
TM_CCORR,im210,-160.0,586226304.0
TM_CCORR,im211,-128.0,586247424.0
TM_CCORR,im212,-128.0,586244608.0
TM_CCORR,im213,-144.0,586295616.0
TM_CCORR,im214,-160.0,586310272.0
TM_CCORR,im215,-128.0,586300864.0
TM_CCORR,im216,-160.0,586375104.0
TM_CCORR,im217,-128.0,586392256.0
TM_CCORR,im218,-168.0,586403584.0
TM_CCORR,im219,-144.0,586545856.0
TM_CCORR,im220,-136.0,586584192.0
TM_CCORR,im221,-144.0,586636864.0
TM_CCORR,im222,-160.0,586705792.0
TM_CCORR,im223,-160.0,586783680.0
TM_CCORR,im224,-176.0,586793216.0
TM_CCORR,im225,-144.0,586813568.0
TM_CCORR,im226,-144.0,586848768.0
TM_CCORR,im227,-144.0,586884992.0
TM_CCORR,im228,-144.0,586892544.0
TM_CCORR,im229,-144.0,586896768.0
TM_CCORR,im230,-128.0,586954752.0
TM_CCORR,im231,-128.0,587020288.0
TM_CCORR,im232,-144.0,587037888.0
TM_CCORR,im233,-144.0,587131392.0
TM_CCORR,im234,-144.0,587141760.0
TM_CCORR,im235,-160.0,587294592.0
TM_CCORR,im236,-128.0,587325504.0
TM_CCORR,im237,-144.0,588448640.0
TM_CCORR,im238,-160.0,588289024.0
